epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,369.761,0.98499,0.74748,1.06539,0.67643,0.68714,0.64561,0.37208,1.41098,1.09112,1.42112,0.000540037,0.000540037,0.000540037
43,378.485,0.97605,0.72463,1.06574,0.67452,0.70082,0.70368,0.41886,1.39104,0.9637,1.3914,0.000531038,0.000531038,0.000531038
44,387.285,0.98225,0.7128,1.05947,0.7885,0.56204,0.64531,0.40344,1.37108,1.01751,1.39891,0.000522039,0.000522039,0.000522039
45,396.148,0.93881,0.65083,1.02139,0.6949,0.61862,0.66764,0.40312,1.39693,1.09242,1.36246,0.00051304,0.00051304,0.00051304
46,404.315,0.94312,0.68778,1.03395,0.78739,0.61175,0.67658,0.39891,1.43512,1.13989,1.35698,0.00050404,0.00050404,0.00050404
47,413.242,0.88681,0.64634,1.03425,0.82073,0.57392,0.66464,0.39005,1.44336,1.07694,1.38475,0.000495041,0.000495041,0.000495041
48,422.217,0.89223,0.64315,1.01188,0.69723,0.64611,0.61747,0.3688,1.44454,1.17368,1.37176,0.000486042,0.000486042,0.000486042
49,431.01,0.89268,0.62531,1.0038,0.73787,0.63523,0.65654,0.39486,1.43182,1.14757,1.37662,0.000477043,0.000477043,0.000477043
50,439.836,0.89031,0.64735,1.01193,0.66858,0.64235,0.70242,0.42504,1.45002,1.0082,1.4158,0.000468044,0.000468044,0.000468044
51,448.646,0.85863,0.63331,1.00629,0.72448,0.70754,0.71273,0.40263,1.39637,1.07475,1.35483,0.000459045,0.000459045,0.000459045
52,457.387,0.8856,0.64024,1.02106,0.75746,0.671,0.65507,0.38164,1.41383,1.10486,1.38087,0.000450046,0.000450046,0.000450046
53,466.184,0.88497,0.61869,1.01464,0.68893,0.66559,0.638,0.37681,1.45266,1.07329,1.42345,0.000441047,0.000441047,0.000441047
54,474.961,0.89791,0.63114,1.00766,0.78681,0.59397,0.66423,0.39681,1.42915,1.19152,1.39561,0.000432048,0.000432048,0.000432048
55,483.882,0.86675,0.60723,0.99853,0.66958,0.71091,0.68358,0.39359,1.41917,1.14472,1.42025,0.000423049,0.000423049,0.000423049
56,492.604,0.85049,0.57003,0.98306,0.70683,0.61091,0.6398,0.38281,1.45932,1.14926,1.43895,0.000414049,0.000414049,0.000414049
