epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2048,1.46133,1.40283,1.78856,0.51275,0.52011,0.57389,0.32361,1.81591,1.7145,2.18221,0.000300142,0.000300142,0.000300142
2,76.4353,1.34364,1.22642,1.66799,0.65152,0.54388,0.59081,0.34034,1.70707,1.69994,2.10776,0.00059717,0.00059717,0.00059717
3,112.623,1.436,1.36109,1.72344,0.6341,0.52552,0.57475,0.30691,1.83858,1.6984,2.20327,0.0008882,0.0008882,0.0008882
4,148.859,1.37997,1.31825,1.6689,0.73789,0.50827,0.61351,0.29294,1.87109,1.53175,2.28083,0.000882003,0.000882003,0.000882003
5,184.37,1.35479,1.26224,1.69193,0.60929,0.56976,0.60508,0.29976,1.80986,1.4506,2.19085,0.000873004,0.000873004,0.000873004
6,219.306,1.40699,1.28414,1.76822,0.56141,0.62829,0.57689,0.30181,1.74568,1.55258,2.17584,0.000864004,0.000864004,0.000864004
7,254.565,1.38469,1.34231,1.68861,0.61587,0.52029,0.53049,0.29525,1.77268,1.73524,2.14598,0.000855005,0.000855005,0.000855005
8,290.125,1.29559,1.17831,1.5984,0.53336,0.50721,0.53624,0.32058,1.82815,1.67378,2.1977,0.000846006,0.000846006,0.000846006
9,325.259,1.27083,1.21347,1.61237,0.72981,0.48502,0.54751,0.32574,1.82106,1.68113,2.27494,0.000837007,0.000837007,0.000837007
10,360.046,1.27683,1.21627,1.64485,0.54971,0.57007,0.60678,0.36569,1.71414,1.62392,2.17291,0.000828008,0.000828008,0.000828008
11,396.639,1.21768,1.1703,1.61593,0.562,0.63399,0.60307,0.37019,1.74306,1.55014,2.18392,0.000819009,0.000819009,0.000819009
12,434.523,1.21843,1.1446,1.62324,0.45055,0.71355,0.62948,0.3575,1.8277,1.63965,2.26936,0.00081001,0.00081001,0.00081001
13,472.436,1.2142,1.09188,1.55955,0.90112,0.43893,0.66855,0.38879,1.73203,1.49015,2.24232,0.000801011,0.000801011,0.000801011
14,510.676,1.26805,1.1175,1.60222,0.74619,0.55616,0.66441,0.38774,1.75675,1.5369,2.25358,0.000792012,0.000792012,0.000792012
15,548.62,1.19705,1.02676,1.55404,0.71689,0.54281,0.64816,0.38583,1.75912,1.64473,2.24777,0.000783013,0.000783013,0.000783013
16,588.344,1.2654,1.08677,1.56567,0.51643,0.73052,0.64777,0.35841,1.83148,1.62112,2.16296,0.000774013,0.000774013,0.000774013
17,627.552,1.27752,1.18069,1.63186,0.63896,0.56572,0.65788,0.34776,1.8788,1.64388,2.30921,0.000765014,0.000765014,0.000765014
18,664.914,1.24594,1.08306,1.61813,0.68221,0.5614,0.63419,0.34839,1.78248,1.5747,2.22479,0.000756015,0.000756015,0.000756015
19,702.181,1.19763,1.11355,1.55616,0.62147,0.49778,0.62328,0.34519,1.77449,1.57254,2.1967,0.000747016,0.000747016,0.000747016
20,740.505,1.12937,1.01227,1.51735,0.65001,0.61359,0.66858,0.37337,1.72158,1.59256,2.20992,0.000738017,0.000738017,0.000738017
21,778.523,1.11169,0.98507,1.48247,0.62399,0.56085,0.58555,0.33877,1.69314,1.56318,2.14232,0.000729018,0.000729018,0.000729018
22,816.419,1.12218,1.04736,1.49008,0.57258,0.57914,0.54669,0.32286,1.6586,1.59582,2.11072,0.000720019,0.000720019,0.000720019
23,854.444,1.11695,0.96455,1.49463,0.56822,0.59398,0.57838,0.32164,1.70005,1.60466,2.1242,0.00071102,0.00071102,0.00071102
24,892.315,1.14032,0.97145,1.49636,0.68573,0.70492,0.68666,0.37349,1.64495,1.52735,2.09722,0.000702021,0.000702021,0.000702021
25,930.153,1.09109,0.93589,1.46955,0.66076,0.70357,0.70871,0.38953,1.63912,1.44435,2.07367,0.000693022,0.000693022,0.000693022
26,968.125,1.07804,0.92006,1.45861,0.58162,0.50975,0.59574,0.37905,1.65269,1.62017,2.0752,0.000684022,0.000684022,0.000684022
27,1006.08,1.05379,0.91601,1.45872,0.60592,0.58527,0.61335,0.37191,1.65761,1.65499,2.10785,0.000675023,0.000675023,0.000675023
28,1043.96,1.08396,0.91396,1.40907,0.56162,0.53284,0.54863,0.34212,1.74117,1.56187,2.15406,0.000666024,0.000666024,0.000666024
29,1081.84,1.04585,0.87202,1.44057,0.63246,0.60054,0.62877,0.37549,1.62465,1.48076,2.06459,0.000657025,0.000657025,0.000657025
30,1119.74,1.0685,0.94498,1.44699,0.66286,0.61989,0.64876,0.38895,1.61902,1.55719,2.03809,0.000648026,0.000648026,0.000648026
31,1157.63,1.0143,0.83599,1.35331,0.5552,0.60616,0.61311,0.34081,1.61377,1.48272,2.01616,0.000639027,0.000639027,0.000639027
32,1195.94,1.11942,0.94603,1.48602,0.6221,0.48964,0.53796,0.31692,1.63064,1.54129,2.06439,0.000630028,0.000630028,0.000630028
33,1233.81,1.05218,0.82752,1.40823,0.64042,0.57931,0.62293,0.33988,1.66712,1.47043,2.09447,0.000621029,0.000621029,0.000621029
34,1271.8,0.99011,0.82509,1.39517,0.62234,0.66363,0.60763,0.33258,1.59816,1.44435,2.02829,0.00061203,0.00061203,0.00061203
35,1309.6,1.02016,0.84816,1.39177,0.56703,0.60022,0.55721,0.33833,1.63379,1.52955,2.06536,0.000603031,0.000603031,0.000603031
36,1347.29,1.00188,0.85457,1.38802,0.579,0.60346,0.58852,0.34605,1.60565,1.63934,2.06772,0.000594031,0.000594031,0.000594031
37,1385.13,1.01795,0.87923,1.44014,0.52489,0.61738,0.56899,0.33271,1.63269,1.69315,2.11809,0.000585032,0.000585032,0.000585032
