epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,494.244,0.84604,0.60587,1.05759,0.78218,0.53855,0.64108,0.42114,1.48528,1.1431,1.60028,0.000540037,0.000540037,0.000540037
43,506.322,0.84136,0.60265,1.03937,0.80068,0.60854,0.67279,0.42578,1.4443,1.10017,1.60324,0.000531038,0.000531038,0.000531038
44,518.539,0.8428,0.59769,1.03899,0.83313,0.57482,0.65043,0.41761,1.47438,1.16405,1.60889,0.000522039,0.000522039,0.000522039
45,530.811,0.76068,0.54604,0.99662,0.80398,0.53392,0.65193,0.42112,1.49445,1.25697,1.59877,0.00051304,0.00051304,0.00051304
46,543.236,0.78646,0.56228,1.01684,0.82217,0.54748,0.65574,0.41889,1.48019,1.16648,1.56015,0.00050404,0.00050404,0.00050404
47,555.491,0.74919,0.53804,1.01889,0.70684,0.59306,0.65039,0.41745,1.51951,1.17595,1.60073,0.000495041,0.000495041,0.000495041
48,567.714,0.75821,0.54841,1.00404,0.77246,0.59149,0.67383,0.42082,1.5004,1.21206,1.62831,0.000486042,0.000486042,0.000486042
49,579.807,0.7866,0.54874,1.03153,0.87525,0.58918,0.68449,0.42082,1.50553,1.21801,1.6309,0.000477043,0.000477043,0.000477043
50,591.961,0.79304,0.55224,1.02931,0.73405,0.59775,0.67738,0.40575,1.53718,1.22863,1.63504,0.000468044,0.000468044,0.000468044
51,604.156,0.73386,0.53309,0.99152,0.67542,0.64971,0.71876,0.43903,1.48047,1.1448,1.58942,0.000459045,0.000459045,0.000459045
52,616.316,0.7613,0.54337,1.01385,0.65107,0.63753,0.70424,0.42322,1.51196,1.25296,1.60734,0.000450046,0.000450046,0.000450046
53,628.625,0.74663,0.52504,1.00343,0.85057,0.53944,0.65745,0.42278,1.53962,1.18421,1.66156,0.000441047,0.000441047,0.000441047
54,640.986,0.77714,0.5373,1.0188,0.73722,0.60301,0.64295,0.40588,1.48294,1.18983,1.62407,0.000432048,0.000432048,0.000432048
55,653.644,0.73624,0.51698,1.00241,0.66813,0.54956,0.60152,0.40299,1.47255,1.19033,1.57629,0.000423049,0.000423049,0.000423049
56,665.417,0.7386,0.49595,0.9766,0.73227,0.52372,0.63566,0.41785,1.44765,1.11591,1.56039,0.000414049,0.000414049,0.000414049
57,677.036,0.70262,0.49648,0.99024,0.62847,0.59958,0.6246,0.40319,1.4919,1.11213,1.60378,0.00040505,0.00040505,0.00040505
58,688.304,0.73346,0.49847,0.99761,0.66402,0.60884,0.651,0.41482,1.41095,1.15192,1.57052,0.000396051,0.000396051,0.000396051
59,699.55,0.71687,0.48207,1.00203,0.72198,0.60177,0.66315,0.42201,1.38521,1.1424,1.55233,0.000387052,0.000387052,0.000387052
60,710.755,0.69124,0.46971,0.96354,0.72811,0.56503,0.62305,0.40806,1.46475,1.19852,1.60192,0.000378053,0.000378053,0.000378053
61,722.37,0.6951,0.4791,0.98943,0.71156,0.59774,0.63279,0.41229,1.40977,1.16823,1.55716,0.000369054,0.000369054,0.000369054
62,733.699,0.7133,0.4845,0.9981,0.73675,0.6002,0.68843,0.42555,1.42168,1.17276,1.53278,0.000360055,0.000360055,0.000360055
63,744.855,0.65734,0.46923,0.97556,0.81894,0.55458,0.67063,0.41815,1.40042,1.17798,1.52244,0.000351056,0.000351056,0.000351056
64,756.167,0.68828,0.48131,0.96167,0.61562,0.6212,0.5961,0.38858,1.45523,1.30125,1.5679,0.000342057,0.000342057,0.000342057
65,767.372,0.66119,0.45452,0.96454,0.58774,0.65103,0.58374,0.37483,1.44905,1.36742,1.57047,0.000333058,0.000333058,0.000333058
66,778.598,0.67963,0.47357,0.99007,0.62191,0.6512,0.63209,0.39524,1.41263,1.2994,1.56032,0.000324058,0.000324058,0.000324058
